data_id,name,main_category,sub_cat,main_cat,lat,lng,neighborhood
168192,al rajhi bank,bank,Bank,"Stores, offices and commercial services",26.3689279,43.9297163,rd
168188,riyad bank branch,bank,Bank,"Stores, offices and commercial services",26.368828,43.9282741,rd
168183,snb alahli,bank,Bank,"Stores, offices and commercial services",26.3800564,43.9042318,rd
168174,sabb,bank,Bank,"Stores, offices and commercial services",26.3924717,43.926035,rd
66276,umm al qura university female  al shisha campus,university,College,Education,21.431032,39.8561505,rd
65584,12th intermediate school in makkah,preparatory school,School,Education,21.4315772,39.8577913,rd
65573,king khaled elementary school,elementary school,School,Education,21.4316756,39.857119,rd
65504,dana bukhari restaurant,restaurant,Resturant,"Stores, offices and commercial services",21.4272502,39.8559121,rd
64848,ajyad park,garden,Park,General facility,21.4307534,39.8545437,rd
63769,meshal automatic landry,laundry service,Commercial_service,"Stores, offices and commercial services",21.4293517,39.8560636,rd
63037,altasamoh pharmacy,organic drug store,Pharmacy,Health,21.4306772,39.8531852,rd
63455,bakala najya,home goods store,Store,"Stores, offices and commercial services",21.427912,39.852854,rd
64742,shisha hotel for hajj nz,museum,delete,delete,21.4305052,39.8598431,rd
64606,sheikh amin aljad mosque,mosque,Mosque,General facility,21.430959,39.8597261,rd
64586,mosque of ibn obaid,mosque,Mosque,General facility,21.4287088,39.8530507,rd
64547,fatima mosque,mosque,Mosque,General facility,21.4312025,39.8538723,rd
64523,sheikh abdullah bin humaid mosque,mosque,Mosque,General facility,21.4313269,39.8575173,rd
63656,pusat rawatan th syisyah,hospital,Hospital,Health,21.4290967,39.8592995,rd
62378,snb alahli,bank,Bank,"Stores, offices and commercial services",21.431534,39.8506466,rd
595719,مجمع نجوم السلام,gas station,Gas station,"Stores, offices and commercial services",26.4703188,45.3588085,rd
591720,مكتب الموسي,lodging,Commercial_service,"Stores, offices and commercial services",21.430533,39.849391,rd
590905,الاتصالات السعوديه,telecommunications service provider,company,"Stores, offices and commercial services",21.4276919,39.8567411,rd
473314,كبري الروضه الشيشه,transportation service,Commercial_service,"Stores, offices and commercial services",21.4320882,39.8505255,rd
473878,فندق رفاده الروضه ٤,hotel,Hotel,Hopspitality,21.4302506,39.8589402,rd
473590,مكتب استقدام,home goods store,Store,"Stores, offices and commercial services",21.4315458,39.8607092,rd
473490,كافتيريا ومشويات التركي,turkish restaurant,Resturant,"Stores, offices and commercial services",21.4304022,39.8613059,rd
473118,فندق ثروات الروضه 2,hotel,Hotel,Hopspitality,21.4315208,39.8491709,rd
473114,جنات الجوار,hotel,Hotel,Hopspitality,21.4302123,39.8527601,rd
473079,منطقه 4 حج 97,hotel,Hotel,Hopspitality,21.4309369,39.8539133,rd
472994,الجوهره الخردوات,handbags shop,Commercial_service,"Stores, offices and commercial services",21.4316915,39.8505315,rd
472993,المطلق المكيفات العالميه,air conditioning store,Store,"Stores, offices and commercial services",21.4302006,39.8528647,rd
472988,السلام الاجهزه الالكترونيه,electronics store,Store,"Stores, offices and commercial services",21.4297478,39.854129,rd
472935,كفتيريا تركي,sandwich shop,Commercial_service,"Stores, offices and commercial services",21.4312361,39.8556535,rd
461345,قيم البركه,repair service,Commercial_service,"Stores, offices and commercial services",21.4287442,39.8519498,rd
461299,بونسيانا,hotel,Hotel,Hopspitality,21.4259638,39.8549874,rd
461297,فندق ثروات الجامعه,hotel,Hotel,Hopspitality,21.4276998,39.8520491,rd
461268,فندق,hotel,Hotel,Hopspitality,21.4262635,39.8529847,rd
461717,saudi post البريد السعودي,post office,company,"Stores, offices and commercial services",21.4276631,39.8569018,rd
461694,دار قريش,extended stay hotel,Hotel,Hopspitality,21.4286574,39.8594547,rd
461676,فندق الحمله,hotel,Hotel,Hopspitality,21.428237,39.8582389,rd
461668,مواقف الششه,hotel,Hotel,Hopspitality,21.4270331,39.8593432,rd
461653,bi̇n dawood şi̇şe otel,serviced accommodation,delete,delete,21.4261636,39.8565211,rd
461568,روعه الاقمشه الملابس الجاهزه,clothing store,Store,"Stores, offices and commercial services",21.4288193,39.8584831,rd
461225,االؤلؤه البيضاء السبح والهدايا,gift shop,Commercial_service,"Stores, offices and commercial services",21.428994,39.8538484,rd
461222,برتقال الاكسسورات,bag shop,Commercial_service,"Stores, offices and commercial services",21.428939,39.8539669,rd
461221,صندوق الملابس المستعمله2,clothing store,Store,"Stores, offices and commercial services",21.4289256,39.8527413,rd
461220,محل رفال الملابس الجاهزه,women's clothing store,Store,"Stores, offices and commercial services",21.4288675,39.8538915,rd
461218,مركز جوري الملابس الجاهزه,clothing store,Store,"Stores, offices and commercial services",21.4275343,39.8557648,rd
461212,محل ورده الملابس الجاهزه,clothing store,Store,"Stores, offices and commercial services",21.4289778,39.853844,rd
461203,بقاله تاج,grocery store,Markets,"Stores, offices and commercial services",21.4290661,39.8531247,rd
461202,معرض جديد الخردوات,cosmetics store,Store,"Stores, offices and commercial services",21.4288815,39.8539057,rd
369631,حجوزات فنادق,travel agency,company,"Stores, offices and commercial services",21.4262815,39.8399062,rd
369629,المشولي السياحه السفريات,travel agency,company,"Stores, offices and commercial services",21.4301794,39.8526284,rd
369625,بقاله الششه,supermarket,Markets,"Stores, offices and commercial services",21.4277297,39.8556542,rd
369620,مؤسسه ساره ناصر العتيبي,jeweler,Store,"Stores, offices and commercial services",21.4283224,39.8548901,rd
369619,محل ريحانه الخردوات,handbags shop,Commercial_service,"Stores, offices and commercial services",21.4288864,39.8539105,rd
369227,مطعم الكبسه السعوديه,restaurant,Resturant,"Stores, offices and commercial services",21.4310934,39.8527181,rd
369215,مطعم الاسره المشويات,restaurant,Resturant,"Stores, offices and commercial services",21.4312663,39.8555307,rd
369194,ايس كريم وعصيرات الامل,juice shop,Commercial_service,"Stores, offices and commercial services",21.4275831,39.8556123,rd
369186,مقليه وقراقيش,restaurant,Resturant,"Stores, offices and commercial services",21.4280204,39.8424788,rd
369602,زهره الخليج الملابس الجاهزه,fashion accessories store,Store,"Stores, offices and commercial services",21.4289104,39.8539418,rd
369599,المميز الوازم الخياطه,clothing store,Store,"Stores, offices and commercial services",21.4291925,39.8586278,rd
369596,محل عماد الملابس الجاهزه والخردوات,clothing store,Store,"Stores, offices and commercial services",21.4285212,39.8570841,rd
369586,مروه الاكسسوارات والكماليات,fashion accessories store,Store,"Stores, offices and commercial services",21.4285621,39.8560763,rd
369585,kardeşler hediyelik eşya ve gümüş mağazası brothers things for gifts and silver,jewelry store,Store,"Stores, offices and commercial services",21.4305954,39.8550276,rd
369572,مركز الروضه المواد الغذائيه,grocery store,Markets,"Stores, offices and commercial services",21.4293245,39.8597965,rd
369570,حسين حسن علي باشا,grocery store,Markets,"Stores, offices and commercial services",21.4309474,39.8597417,rd
369560,بقاله نبيل غنيم,grocery store,Markets,"Stores, offices and commercial services",21.427839,39.8538286,rd
369558,بقاله الاركاني,grocery store,Markets,"Stores, offices and commercial services",21.4317988,39.8500293,rd
369556,بقاله مركز عرف,grocery store,Markets,"Stores, offices and commercial services",21.4294016,39.857005,rd
369549,بقاله الرواد,grocery store,Markets,"Stores, offices and commercial services",21.4312676,39.8556642,rd
369533,مهرجان المفروشات والملابس,clothing store,Store,"Stores, offices and commercial services",21.4267161,39.8563908,rd
369527,جامعه رزان,school,School,Education,21.4304019,39.8559328,rd
369524,جمعيه تحفيظ القران الكريم البنين,school,School,Education,21.4287584,39.8576196,rd
369523,روضه ابنائنا,school,School,Education,21.4310967,39.8565048,rd
369522,موقف السياره,school,School,Education,21.4283686,39.8593661,rd
369519,متوسطه جعفر بن ابي طالب مكه المكرمه,school,School,Education,21.4288903,39.8554165,rd
369515,مدرسه عثمان بن عفان الثانويه,school,School,Education,21.4314399,39.8524426,rd
369513,المتوسطه الثامنه لتحفيظ القران البنات بمكه,school,School,Education,21.4287488,39.8525335,rd
369492,موقف سوناتا,parking lot,delete,delete,21.4272176,39.858732,rd
369481,جلسه جبل خندمه,hiking area,delete,delete,21.4247192,39.839857,rd
369480,حديقه,garden,Park,General facility,21.4283461,39.8532399,rd
369476,الباصات مكه,museum,delete,delete,21.4267903,39.8591575,rd
369452,مسجد حامد العصيمي,mosque,Mosque,General facility,21.425587,39.8550081,rd
369450,مسجد اهلي,mosque,Mosque,General facility,21.4269804,39.8558795,rd
369448,مسجد اهلي,mosque,Mosque,General facility,21.4283011,39.8403165,rd
369445,مسجد الامير مشعل,mosque,Mosque,General facility,21.4284678,39.8566772,rd
369439,مسجد الراجحي,mosque,Mosque,General facility,21.4275897,39.8535928,rd
369434,مسجد عبدااله بن حميد,mosque,Mosque,General facility,21.4266164,39.8542898,rd
369420,مسجد المحياني,mosque,Mosque,General facility,21.4291201,39.8404052,rd
369411,فندق التفاح يوجد غرف 100ريال,hostel,Commercial_service,"Stores, offices and commercial services",21.4305561,39.8524003,rd
369332,فندق الرقيب بالششه,hotel,Hotel,Hopspitality,21.4296073,39.8559883,rd
369275,مغسلتي المتميزه,laundry,Commercial_service,"Stores, offices and commercial services",21.4289875,39.8526686,rd
369267,مجموعه المتبولي المتحده,appliance store,Store,"Stores, offices and commercial services",21.4288097,39.8541071,rd
369266,سوق الششه,fabric store,Store,"Stores, offices and commercial services",21.4290774,39.8588678,rd
369265,المتبولي الصوت والاتصالات,appliance store,Store,"Stores, offices and commercial services",21.4306841,39.8524312,rd
369264,معرض الخليج,appliance store,Store,"Stores, offices and commercial services",21.4297424,39.8530688,rd
369262,مؤسسه كسوه الفخامه التجاريه,fabric store,Store,"Stores, offices and commercial services",21.4285758,39.8559341,rd
369260,الحديبيه الاقمشه رجالي ونسائي,fabric store,Store,"Stores, offices and commercial services",21.4301922,39.8564793,rd
369258,مستودع نورولي,home goods store,Store,"Stores, offices and commercial services",21.4272498,39.8529099,rd
369256,بن حمود الاجهزه المنزليه,home goods store,Store,"Stores, offices and commercial services",21.4304052,39.8525928,rd
369253,محل المروي الخردوات,home goods store,Store,"Stores, offices and commercial services",21.4323528,39.8579756,rd
369246,بيت السبح والهدايا,electronics store,Store,"Stores, offices and commercial services",21.4313095,39.8556806,rd
369242,ابرهيم الجفالي مستودع قطع الغيار,electronics store,Store,"Stores, offices and commercial services",21.4272678,39.8472991,rd
369235,محل تركي الالكترونيات,electronics store,Store,"Stores, offices and commercial services",21.4288705,39.8538945,rd
369178,كافتيريا سلطانه,fast food restaurant,Resturant,"Stores, offices and commercial services",21.4290936,39.8535671,rd
369171,كافيه,coffee shop,Commercial_service,"Stores, offices and commercial services",21.4316013,39.8513137,rd
369168,موكاتشينو كافيه,coffee shop,Commercial_service,"Stores, offices and commercial services",21.4277992,39.856677,rd
369166,ات,coffee shop,Commercial_service,"Stores, offices and commercial services",21.4293567,39.8534432,rd
369163,شركه ارسال لتحويل الاموال ersal money transfer,money transfer service,Commercial_service,"Stores, offices and commercial services",21.4276771,39.8568416,rd
189680,مفروشات الشمري,shop supermarket furniture store,Commercial_service,"Stores, offices and commercial services",27.6194005,38.5384079,rd
189671,القويز الاتصالات,electronics store,Store,"Stores, offices and commercial services",27.6192068,38.5384036,rd
189670,كادي الشمال الاتصالات,electronics store,Store,"Stores, offices and commercial services",27.6243077,38.5380901,rd
190041,حلويات شهد,confectionery,Markets,"Stores, offices and commercial services",27.6187995,38.5382765,rd
190036,حلوي واكثر,confectionery,Markets,"Stores, offices and commercial services",27.6241383,38.5385378,rd
190009,الطفل السعيد,clothing store,Store,"Stores, offices and commercial services",27.618684,38.5398694,rd
190003,درعه deraah,perfume store,Store,"Stores, offices and commercial services",27.619611,38.538417,rd
189999,منامه انثي,women's clothing store,Store,"Stores, offices and commercial services",27.6187746,38.5382011,rd
189990,محامص وعطاره الشيوخ,grocery store,Markets,"Stores, offices and commercial services",27.619426,38.5383734,rd
189986,قرطاسيه الرمال,stationery store,Store,"Stores, offices and commercial services",27.6212466,38.5388194,rd
189982,الهنوف الملابس الجاهزه,clothing store,Store,"Stores, offices and commercial services",27.6214764,38.5388465,rd
189980,تموينات البيت السعيد,grocery store,Markets,"Stores, offices and commercial services",27.6209349,38.5384208,rd
189953,مجمع تيماء,clothing store,Store,"Stores, offices and commercial services",27.6201928,38.5387627,rd
189948,دار المومنين عايشه,school,School,Education,27.6200915,38.5410059,rd
189947,رمان,school,School,Education,27.6202896,38.5379365,rd
189946,مركز اختبارات قياس,school center,School,Education,27.6274297,38.5409802,rd
189943,ثانويه تيماء بنين,school,School,Education,27.620002,38.542135,rd
189940,المتوسطه الثانيه بنات,middle school,School,Education,27.6222574,38.5398815,rd
189939,متوسطه وثانويه التحفيظ,school,School,Education,27.623357,38.533764,rd
189930,متوسطه ثانويه تحفيظ القران الكريم بنبن,school,School,Education,27.6195366,38.5357046,rd
189923,الثانويه الاولي بمحافظه تيماء البنات,high school,School,Education,27.6226966,38.5399318,rd
189922,مدارس اراء الرواد الاهليه,school,School,Education,27.6245406,38.5435075,rd
189910,ابتدائيه تحفيظ القران الكريم البنين,elementary school,School,Education,27.6209292,38.534857,rd
189902,مطعم زاد اليوم,fast food restaurant,Resturant,"Stores, offices and commercial services",27.6231394,38.5386935,rd
189897,محل سباكه وكهرباء,plumbing supply store,Store,"Stores, offices and commercial services",27.6187683,38.537963,rd
189894,صيدليه لمسه الرعايه 2,pharmacy,Pharmacy,Health,27.6209515,38.5388044,rd
189888,صيدليه الدواء,pharmacy,Pharmacy,Health,27.625377,38.538682,rd
189843,مسجد ابو سعيد الخدري,mosque,Mosque,General facility,27.621032,38.5427971,rd
189832,مسجد التقوي,mosque,Mosque,General facility,27.6243267,38.5346133,rd
189817,مسجد الشافعي,mosque,Mosque,General facility,27.625443,38.5370009,rd
189795,مسجد علي بن ابي طالب,mosque,Mosque,General facility,27.6204691,38.5371691,rd
189787,مسجد ابن ماجه,mosque,Mosque,General facility,27.6233158,38.540011,rd
189765,مسجد الالباني,mosque,Mosque,General facility,27.6268656,38.5392666,rd
189708,مغسله اموات,laundry,Commercial_service,"Stores, offices and commercial services",27.6226346,38.5382296,rd
189706,مجمع كوكبه الصحه,hospital,Hospital,Health,27.623178,38.5422341,rd
189704,مجمع كوكبه الصحه الاهلي,hospital,Hospital,Health,27.6230817,38.5429369,rd
189696,jotun multicolor centre al aeidi,paint store,Store,"Stores, offices and commercial services",27.623353,38.538837,rd
189691,الريان,home goods store,Store,"Stores, offices and commercial services",27.6210771,38.5383342,rd
189685,مركز السلمان المفروشات,mattress store,Store,"Stores, offices and commercial services",27.6259878,38.5438981,rd
189653,ministry agricultur tayma وزارهالبيئهوالمياهوالزراعه تيماء,pharmacy,Pharmacy,Health,27.6194112,38.5358552,rd
189650,مركز صحي الروضه,public medical center,Other health services,Health,27.62668,38.53432,rd
189602,مطعم ركن الساري restaurant rokan alsari bangali food,chicken restaurant,Resturant,"Stores, offices and commercial services",27.6231733,38.5410068,rd
189574,الاكابر,coffee shop,Commercial_service,"Stores, offices and commercial services",27.6200567,38.5384392,rd
189560,كوفي فنجال الصباح,cafe,Cafes,"Stores, offices and commercial services",27.6215394,38.5385149,rd
189556,دره تيماء الالعاب الاطفال,bicycle shop,Commercial_service,"Stores, offices and commercial services",27.6242159,38.5385367,rd
189546,اسواق زهره الشمال,discount supermarket,Markets,"Stores, offices and commercial services",27.6261066,38.5439236,rd
189545,مكان الحلوي,candy store,Store,"Stores, offices and commercial services",27.6201378,38.5384043,rd
172268,مسجد,mosque,Mosque,General facility,26.4700076,45.3586087,rd
